========================================
  RECEPCION SUITE - AGENTE LOCAL
  Escuchando en http://localhost:3001
========================================
[AGENT] 2026-02-24T14:42:42.682Z - GET /api/admin/logs?target=remote
[AGENT] 2026-02-24T14:42:45.636Z - GET /api/admin/logs
[AGENT] 2026-02-24T14:42:45.652Z - GET /api/admin/logs?target=remote
[AGENT] 2026-02-24T14:42:47.642Z - GET /api/admin/status
[AGENT] 2026-02-24T14:42:48.634Z - GET /api/admin/logs
[AGENT] 2026-02-24T14:42:48.660Z - GET /api/admin/logs?target=remote
[AGENT] 2026-02-24T14:43:24.651Z - GET /api/admin/logs
[AGENT] 2026-02-24T14:43:24.666Z - GET /api/admin/status
[AGENT] 2026-02-24T14:43:24.729Z - GET /api/admin/logs?target=remote
[AGENT] 2026-02-24T14:44:24.659Z - GET /api/admin/status
[AGENT] 2026-02-24T14:44:24.661Z - GET /api/admin/logs
[AGENT] 2026-02-24T14:44:24.692Z - GET /api/admin/logs?target=remote
[AGENT] 2026-02-24T14:44:39.814Z - GET /api/admin/status
[AGENT] 2026-02-24T14:44:39.825Z - GET /api/admin/logs
[AGENT] 2026-02-24T14:44:39.848Z - GET /api/admin/logs?target=remote
[AGENT] 2026-02-24T14:44:41.835Z - GET /api/admin/status
[AGENT] 2026-02-24T14:44:41.837Z - GET /api/admin/logs
[AGENT] 2026-02-24T14:44:41.859Z - GET /api/admin/logs?target=remote
[AGENT] 2026-02-24T14:44:44.835Z - GET /api/admin/logs
[AGENT] 2026-02-24T14:44:44.855Z - GET /api/admin/logs?target=remote
[AGENT] 2026-02-24T14:44:46.836Z - GET /api/admin/status
[AGENT] 2026-02-24T14:44:47.833Z - GET /api/admin/logs
[AGENT] 2026-02-24T14:44:47.854Z - GET /api/admin/logs?target=remote
[AGENT] 2026-02-24T14:44:51.632Z - GET /api/admin/logs
[AGENT] 2026-02-24T14:44:51.652Z - GET /api/admin/logs?target=remote
[AGENT] 2026-02-24T14:44:52.637Z - GET /api/admin/status
[AGENT] 2026-02-24T14:44:54.638Z - GET /api/admin/logs
[AGENT] 2026-02-24T14:44:54.659Z - GET /api/admin/logs?target=remote
[AGENT] 2026-02-24T14:44:57.664Z - GET /api/admin/status
[AGENT] 2026-02-24T14:44:57.665Z - GET /api/admin/logs
[AGENT] 2026-02-24T14:44:57.747Z - GET /api/admin/logs?target=remote
[AGENT] 2026-02-24T14:45:00.465Z - GET /api/admin/logs
[AGENT] 2026-02-24T14:45:00.492Z - GET /api/admin/logs?target=remote
[AGENT] 2026-02-24T14:45:01.834Z - GET /api/admin/status
[AGENT] 2026-02-24T14:45:02.834Z - GET /api/admin/logs
[AGENT] 2026-02-24T14:45:02.856Z - GET /api/admin/logs?target=remote
[AGENT] 2026-02-24T14:45:05.845Z - GET /api/admin/logs
[AGENT] 2026-02-24T14:45:05.871Z - GET /api/admin/logs?target=remote
[AGENT] 2026-02-24T14:45:07.278Z - GET /api/admin/status
[AGENT] 2026-02-24T14:45:09.647Z - GET /api/admin/logs
[AGENT] 2026-02-24T14:45:09.672Z - GET /api/admin/logs?target=remote
[AGENT] 2026-02-24T14:45:12.648Z - GET /api/admin/status
[AGENT] 2026-02-24T14:45:12.678Z - GET /api/admin/logs
[AGENT] 2026-02-24T14:45:12.698Z - GET /api/admin/logs?target=remote
[AGENT] 2026-02-24T14:45:15.645Z - GET /api/admin/logs
[AGENT] 2026-02-24T14:45:15.669Z - GET /api/admin/logs?target=remote
[AGENT] 2026-02-24T14:45:17.637Z - GET /api/admin/status
[AGENT] 2026-02-24T14:45:18.633Z - GET /api/admin/logs
[AGENT] 2026-02-24T14:45:18.651Z - GET /api/admin/logs?target=remote
[AGENT] 2026-02-24T14:45:21.636Z - GET /api/admin/logs
[AGENT] 2026-02-24T14:45:21.665Z - GET /api/admin/logs?target=remote
[AGENT] 2026-02-24T14:45:22.641Z - GET /api/admin/status
[AGENT] 2026-02-24T14:45:24.638Z - GET /api/admin/logs
[AGENT] 2026-02-24T14:45:24.689Z - GET /api/admin/logs?target=remote
[AGENT] 2026-02-24T14:45:27.649Z - GET /api/admin/status
[AGENT] 2026-02-24T14:45:27.651Z - GET /api/admin/logs
[AGENT] 2026-02-24T14:45:27.685Z - GET /api/admin/logs?target=remote
[AGENT] 2026-02-24T14:45:30.642Z - GET /api/admin/logs
[AGENT] 2026-02-24T14:45:30.658Z - GET /api/admin/logs?target=remote
[AGENT] 2026-02-24T14:45:32.634Z - GET /api/admin/status
[AGENT] 2026-02-24T14:45:33.632Z - GET /api/admin/logs
[AGENT] 2026-02-24T14:45:33.653Z - GET /api/admin/logs?target=remote
[AGENT] 2026-02-24T14:45:35.834Z - GET /api/admin/logs
[AGENT] 2026-02-24T14:45:35.857Z - GET /api/admin/logs?target=remote
[AGENT] 2026-02-24T14:45:36.835Z - GET /api/admin/status
[AGENT] 2026-02-24T14:45:38.850Z - GET /api/admin/logs
[AGENT] 2026-02-24T14:45:38.869Z - GET /api/admin/logs?target=remote
[AGENT] 2026-02-24T14:45:41.834Z - GET /api/admin/status
[AGENT] 2026-02-24T14:45:41.863Z - GET /api/admin/logs
[AGENT] 2026-02-24T14:45:41.886Z - GET /api/admin/logs?target=remote
[AGENT] 2026-02-24T14:45:44.231Z - POST /api/admin/run-tests
[AGENT] 2026-02-24T14:45:44.473Z - GET /api/auth/id
[AGENT] 2026-02-24T14:45:44.835Z - GET /api/admin/logs
[AGENT] 2026-02-24T14:45:44.857Z - GET /api/admin/logs?target=remote
[AGENT] 2026-02-24T14:45:46.833Z - GET /api/admin/status
[AGENT] 2026-02-24T14:45:47.834Z - GET /api/admin/logs
[AGENT] 2026-02-24T14:45:47.856Z - GET /api/admin/logs?target=remote
[AGENT] 2026-02-24T14:45:48.257Z - GET /api/admin/db-check?target=remote
[AGENT] 2026-02-24T14:45:48.285Z - GET /api/admin/status
[AGENT] 2026-02-24T14:45:50.835Z - GET /api/admin/logs
[AGENT] 2026-02-24T14:45:50.858Z - GET /api/admin/logs?target=remote
[AGENT] 2026-02-24T14:45:51.834Z - GET /api/admin/status
[AGENT] 2026-02-24T14:45:53.835Z - GET /api/admin/logs
[AGENT] 2026-02-24T14:45:53.856Z - GET /api/admin/logs?target=remote
[AGENT] 2026-02-24T14:45:54.326Z - POST /api/admin/execute
[AGENT] 2026-02-24T14:45:56.834Z - GET /api/admin/status
[AGENT] 2026-02-24T14:45:59.372Z - GET /api/admin/status
[AGENT] 2026-02-24T14:45:59.374Z - GET /api/admin/logs
[AGENT] 2026-02-24T14:45:59.397Z - GET /api/admin/logs?target=remote
[AGENT] 2026-02-24T14:45:59.834Z - GET /api/admin/logs
[AGENT] 2026-02-24T14:45:59.857Z - GET /api/admin/logs?target=remote
[AGENT] 2026-02-24T14:46:00.038Z - GET /api/admin/logs
[AGENT] 2026-02-24T14:46:00.057Z - GET /api/admin/logs?target=remote
[AGENT] 2026-02-24T14:46:01.838Z - GET /api/admin/status
[AGENT] 2026-02-24T14:46:02.737Z - GET /api/admin/db-check?target=local
[AGENT] 2026-02-24T14:46:02.884Z - GET /api/admin/logs
[AGENT] 2026-02-24T14:46:02.926Z - GET /api/admin/logs?target=remote
[AGENT] 2026-02-24T14:46:02.934Z - GET /api/admin/status
[AGENT] 2026-02-24T14:46:05.835Z - GET /api/admin/logs
[AGENT] 2026-02-24T14:46:05.855Z - GET /api/admin/logs?target=remote
[AGENT] 2026-02-24T14:46:06.836Z - GET /api/admin/status
[AGENT] 2026-02-24T14:46:08.833Z - GET /api/admin/logs
[AGENT] 2026-02-24T14:46:08.852Z - GET /api/admin/logs?target=remote
[AGENT] 2026-02-24T14:46:11.834Z - GET /api/admin/status
[AGENT] 2026-02-24T14:46:11.864Z - GET /api/admin/logs
[AGENT] 2026-02-24T14:46:11.887Z - GET /api/admin/logs?target=remote
[AGENT] 2026-02-24T14:46:14.834Z - GET /api/admin/logs
[AGENT] 2026-02-24T14:46:14.875Z - GET /api/admin/logs?target=remote
[AGENT] 2026-02-24T14:46:16.846Z - GET /api/admin/status
[AGENT] 2026-02-24T14:46:18.634Z - GET /api/admin/logs
[AGENT] 2026-02-24T14:46:18.659Z - GET /api/admin/logs?target=remote
[AGENT] 2026-02-24T14:46:21.647Z - GET /api/admin/logs
[AGENT] 2026-02-24T14:46:21.673Z - GET /api/admin/logs?target=remote
[AGENT] 2026-02-24T14:46:22.400Z - GET /api/admin/status
[AGENT] 2026-02-24T14:46:23.835Z - GET /api/admin/logs
[AGENT] 2026-02-24T14:46:23.857Z - GET /api/admin/logs?target=remote
[AGENT] 2026-02-24T14:46:26.834Z - GET /api/admin/status
[AGENT] 2026-02-24T14:46:26.836Z - GET /api/admin/logs
[AGENT] 2026-02-24T14:46:26.857Z - GET /api/admin/logs?target=remote
[AGENT] 2026-02-24T14:46:29.977Z - GET /api/auth/id
[AGENT] 2026-02-24T14:46:30.656Z - GET /api/admin/logs
[AGENT] 2026-02-24T14:46:30.708Z - GET /api/admin/logs?target=remote
[AGENT] 2026-02-24T14:46:32.646Z - GET /api/admin/status
[AGENT] 2026-02-24T14:46:33.640Z - GET /api/admin/logs
[AGENT] 2026-02-24T14:46:33.660Z - GET /api/admin/logs?target=remote
[AGENT] 2026-02-24T14:46:36.644Z - GET /api/admin/logs
[AGENT] 2026-02-24T14:46:36.664Z - GET /api/admin/logs?target=remote
[AGENT] 2026-02-24T14:46:37.635Z - GET /api/admin/status
[AGENT] 2026-02-24T14:46:39.647Z - GET /api/admin/logs
[AGENT] 2026-02-24T14:46:39.669Z - GET /api/admin/logs?target=remote
[AGENT] 2026-02-24T14:46:42.637Z - GET /api/admin/status
[AGENT] 2026-02-24T14:46:42.664Z - GET /api/admin/logs
[AGENT] 2026-02-24T14:46:42.689Z - GET /api/admin/logs?target=remote
[AGENT] 2026-02-24T14:46:45.631Z - GET /api/admin/logs
[AGENT] 2026-02-24T14:46:45.652Z - GET /api/admin/logs?target=remote
[AGENT] 2026-02-24T14:46:47.644Z - GET /api/admin/status
[AGENT] 2026-02-24T14:46:48.642Z - GET /api/admin/logs
[AGENT] 2026-02-24T14:46:48.667Z - GET /api/admin/logs?target=remote
[AGENT] 2026-02-24T14:46:51.645Z - GET /api/admin/logs
[AGENT] 2026-02-24T14:46:51.662Z - GET /api/admin/logs?target=remote
[AGENT] 2026-02-24T14:46:52.643Z - GET /api/admin/status
[AGENT] 2026-02-24T14:46:54.649Z - GET /api/admin/logs
[AGENT] 2026-02-24T14:46:54.670Z - GET /api/admin/logs?target=remote
[AGENT] 2026-02-24T14:46:57.644Z - GET /api/admin/status
